2021-01-28,24201
2021-01-29,41318
2021-01-30,45468
2021-01-31,45468
2021-02-01,67993
2021-02-02,102297
2021-02-03,138956
2021-02-04,189524
2021-02-05,233274
2021-02-06,243550
2021-02-07,248614
2021-02-08,294120
2021-02-09,366002
2021-02-10,442260
2021-02-11,540713
2021-02-12,614496
2021-02-13,633771
2021-02-14,640875
2021-02-15,716887
2021-02-16,816990
2021-02-17,919370
2021-02-18,1037266
2021-02-19,1127419
2021-02-20,1155637
2021-02-21,1161983
2021-02-22,1234673
2021-02-23,1318292
2021-02-24,1398984
2021-02-25,1490083
2021-02-26,1560575
2021-02-27,1582433
2021-02-28,1586842
2021-03-01,1639282
2021-03-02,1705966
2021-03-03,1771246
2021-03-04,1839826
2021-03-05,1902812
2021-03-06,1920395
2021-03-07,1925812
2021-03-08,1976264
2021-03-09,2032791
2021-03-10,2089694
2021-03-11,2152380
2021-03-12,2205468
2021-03-13,2220608
2021-03-14,2223980
2021-03-15,2256385
2021-03-16,2295732
2021-03-17,2297100
2021-03-18,2385606
2021-03-19,2418313
2021-03-20,2428590
2021-03-21,2429958
2021-03-22,2463973
2021-03-23,2506023
2021-03-24,2549521
2021-03-25,2593879
2021-03-26,2635356
2021-03-27,2651777
2021-03-28,2655443
2021-03-29,2709292
2021-03-30,2781404
2021-03-31,2851057
2021-04-01,2938186
2021-04-02,3029747
2021-04-03,3091225
