2021-01-12,0,24703
2021-01-12,09,32
2021-01-12,19,61
2021-01-12,29,191
2021-01-12,39,324
2021-01-12,49,644
2021-01-12,59,1594
2021-01-12,69,3498
2021-01-12,79,5950
2021-01-12,89,8184
2021-01-12,90,4004
2021-01-13,0,24735
2021-01-13,09,30
2021-01-13,19,61
2021-01-13,29,202
2021-01-13,39,340
2021-01-13,49,647
2021-01-13,59,1596
2021-01-13,69,3497
2021-01-13,79,5956
2021-01-13,89,8199
2021-01-13,90,3996
2021-01-14,0,24983
2021-01-14,09,32
2021-01-14,19,66
2021-01-14,29,200
2021-01-14,39,347
2021-01-14,49,651
2021-01-14,59,1627
2021-01-14,69,3532
2021-01-14,79,6035
2021-01-14,89,8251
2021-01-14,90,4025
2021-01-15,0,25009
2021-01-15,09,29
2021-01-15,19,57
2021-01-15,29,207
2021-01-15,39,359
2021-01-15,49,660
2021-01-15,59,1638
2021-01-15,69,3510
2021-01-15,79,6027
2021-01-15,89,8245
2021-01-15,90,4061
2021-01-16,0,24985
2021-01-16,09,27
2021-01-16,19,64
2021-01-16,29,207
2021-01-16,39,366
2021-01-16,49,635
2021-01-16,59,1660
2021-01-16,69,3519
2021-01-16,79,5997
2021-01-16,89,8268
2021-01-16,90,4041
2021-01-17,0,25235
2021-01-17,09,28
2021-01-17,19,64
2021-01-17,29,209
2021-01-17,39,364
2021-01-17,49,648
2021-01-17,59,1696
2021-01-17,69,3548
2021-01-17,79,6059
2021-01-17,89,8330
2021-01-17,90,4076
2021-01-18,0,25584
2021-01-18,09,28
2021-01-18,19,69
2021-01-18,29,218
2021-01-18,39,364
2021-01-18,49,655
2021-01-18,59,1726
2021-01-18,69,3601
2021-01-18,79,6166
2021-01-18,89,8425
2021-01-18,90,4123
2021-01-19,0,25532
2021-01-19,09,25
2021-01-19,19,74
2021-01-19,29,220
2021-01-19,39,351
2021-01-19,49,673
2021-01-19,59,1717
2021-01-19,69,3589
2021-01-19,79,6139
2021-01-19,89,8374
2021-01-19,90,4151
2021-01-20,0,25650
2021-01-20,09,26
2021-01-20,19,66
2021-01-20,29,207
2021-01-20,39,325
2021-01-20,49,700
2021-01-20,59,1728
2021-01-20,69,3627
2021-01-20,79,6177
2021-01-20,89,8420
2021-01-20,90,4155
2021-01-21,0,25699
2021-01-21,09,27
2021-01-21,19,66
2021-01-21,29,206
2021-01-21,39,342
2021-01-21,49,699
2021-01-21,59,1736
2021-01-21,69,3664
2021-01-21,79,6150
2021-01-21,89,8421
2021-01-21,90,4171
2021-01-22,0,25872
2021-01-22,09,28
2021-01-22,19,73
2021-01-22,29,210
2021-01-22,39,337
2021-01-22,49,691
2021-01-22,59,1747
2021-01-22,69,3710
2021-01-22,79,6204
2021-01-22,89,8445
2021-01-22,90,4201
2021-01-23,0,25864
2021-01-23,09,26
2021-01-23,19,72
2021-01-23,29,209
2021-01-23,39,337
2021-01-23,49,693
2021-01-23,59,1773
2021-01-23,69,3680
2021-01-23,79,6184
2021-01-23,89,8478
2021-01-23,90,4191
2021-01-24,0,26357
2021-01-24,09,27
2021-01-24,19,74
2021-01-24,29,207
2021-01-24,39,351
2021-01-24,49,711
2021-01-24,59,1830
2021-01-24,69,3761
2021-01-24,79,6300
2021-01-24,89,8615
2021-01-24,90,4253
2021-01-25,0,26888
2021-01-25,09,29
2021-01-25,19,73
2021-01-25,29,215
2021-01-25,39,357
